school-wls	name	enw	school-type-wls	principal-local-authority	address	cyfeiriad	start-date	end-date
6697010	Rhydygors School & Support Services	Rhydygors School & Support Services	10	CMN				
6702006	Brynmill School	Brynmill School	1	SWA				
6702008	Cadle Primary School	Cadle Primary School	1	SWA				
6702014	Cwmrhydyceirw Primary School	Cwmrhydyceirw Primary School	1	SWA				
6702017	Danygraig Primary School	Danygraig Primary School	1	SWA				
6702021	Gendros Primary School	Gendros Primary School	1	SWA				
6702023	Glais Primary School	Glais Primary School	1	SWA				
6702027	Grange Primary School	Grange Primary School	1	SWA				
6702032	Hafod Primary School	Hafod Primary School	1	SWA				
6702036	Ysgol Gymraeg Lon Las	Ysgol Gymraeg Lon Las	1	SWA				
6702040	Morriston Primary School	Morriston Primary School	1	SWA				
6702042	Oystermouth Primary School	Oystermouth Primary School	1	SWA				
6702048	Pentrechwyth Primary School	Pentrechwyth Primary School	1	SWA				
6702051	Plasmarl Primary School	Plasmarl Primary School	1	SWA				
6702054	Sketty Primary School	Sketty Primary School	1	SWA				
6702055	St Helen's Primary School	St Helen's Primary School	1	SWA				
6702059	Terrace Road Primary School	Terrace Road Primary School	1	SWA				
6702063	Townhill Primary School	Townhill Primary School	1	SWA				
6702065	Waunarlwydd Primary School	Waunarlwydd Primary School	1	SWA				
6702067	Waun Wen School	Waun Wen School	1	SWA				
6702069	Clwyd Primary School	Clwyd Primary School	1	SWA				
6702071	Ynystawe Primary School	Ynystawe Primary School	1	SWA				
6702073	Clase Primary School	Clase Primary School	1	SWA				
6702075	Portmead Primary School	Portmead Primary School	1	SWA				
6702076	Mayals Primary	Mayals Primary	1	SWA				
6702077	Cwmglas Primary School	Cwmglas Primary School	1	SWA				
6702082	Blaenymaes Primary School	Blaenymaes Primary School	1	SWA				
6702084	Trallwn Primary School	Trallwn Primary School	1	SWA				
6702086	Parkland Primary School	Parkland Primary School	1	SWA				
6702092	Newton Primary School	Newton Primary School	1	SWA				
6702095	Whitestone Primary	Whitestone Primary	1	SWA				
6702096	Hendrefoilan Primary	Hendrefoilan Primary	1	SWA				
6702098	Y.G.G. Brynymor	Y.G.G. Brynymor	1	SWA				
6702105	Bishopston Primary School	Bishopston Primary School	1	SWA				
6702108	Casllwchwr Primary School	Casllwchwr Primary School	1	SWA				
6702109	Cila Primary School	Cila Primary School	1	SWA				
6702117	Craigcefnparc Primary	Craigcefnparc Primary	1	SWA				
6702120	Crwys Primary School	Crwys Primary School	1	SWA				
6702133	Ysgol Gynradd Felindre	Ysgol Gynradd Felindre	1	SWA				
6702157	Llangyfelach Primary School	Llangyfelach Primary School	1	SWA				
6702159	Llanrhidian Primary	Llanrhidian Primary	1	SWA				
6702167	Penclawdd Primary School	Penclawdd Primary School	1	SWA				
6702172	Pengelli Primary	Pengelli Primary	1	SWA				
6702174	Penllergaer Primary School	Penllergaer Primary School	1	SWA				
6702176	Penyrheol Primary School	Penyrheol Primary School	1	SWA				
6702186	Pontarddulais Primary School	Pontarddulais Primary School	1	SWA				
6702189	Y.G.G. Bryniago	Y.G.G. Bryniago	1	SWA				
6702192	Pontlliw Primary	Pontlliw Primary	1	SWA				
6702211	Tre Uchaf Primary School	Tre Uchaf Primary School	1	SWA				
6702212	Y.G.G. Pontybrenin	Y.G.G. Pontybrenin	1	SWA				
6702215	Craigfelen Primary School	Craigfelen Primary School	1	SWA				
6702216	Pennard Primary	Pennard Primary	1	SWA				
6702217	Knelston Primary	Knelston Primary	1	SWA				
6702219	Pen-Y-Fro	Pen-Y-Fro	1	SWA				
6702223	Pontybrenin Primary School	Pontybrenin Primary School	1	SWA				
6702225	Talycopa Primary School	Talycopa Primary School	1	SWA				
6702226	Glyncollen Primary School	Glyncollen Primary School	1	SWA				
6702229	Ysgol Gymraeg Y Login Fach	Ysgol Gymraeg Y Login Fach	1	SWA				
6702231	Y.G.G. Tirdeunaw	Y.G.G. Tirdeunaw	1	SWA				
6702232	Y.G.G. Gellionnen	Y.G.G. Gellionnen	1	SWA				
6702233	Gors Community School	Gors Community School	1	SWA				
6702234	Sea View Primary School	Sea View Primary School	1	SWA				
6702235	Y.G.G. Llwynderw	Y.G.G. Llwynderw	1	SWA				
6702236	Birchgrove Primary	Birchgrove Primary	1	SWA				
6702237	Dunvant Primary School	Dunvant Primary School	1	SWA				
6702238	Gwyrosydd Primary School	Gwyrosydd Primary School	1	SWA				
6702239	St Thomas Community Primary School	St Thomas Community Primary School	1	SWA				
6702240	Gowerton Primary School	Gowerton Primary School	1	SWA				
6702241	Pentre’r Graig Primary School	Pentre’r Graig Primary School	1	SWA				
6702242	Ysgol Gymraeg Tan-y-lan	Ysgol Gymraeg Tan-y-lan	1	SWA				
6702243	Burlais Primary School	Burlais Primary School	1	SWA				
6702244	Clydach Primary School	Clydach Primary School	1	SWA				
6702245	Ysgol Gymraeg y Cwm	Ysgol Gymraeg y Cwm	1	SWA				
6702246	Gorseinon Primary School	Gorseinon Primary School	1	SWA				
6702247	Brynhyfryd Primary School	Brynhyfryd Primary School	1	SWA				
6703303	St. David's Rc Primary School	St. David's Rc Primary School	1	SWA				
6703305	St Illtyds Primary	St Illtyds Primary	1	SWA				
6703306	Christchurch Church In Wales	Christchurch Church In Wales	1	SWA				
6703308	St Joseph's R.C. Primary	St Joseph's R.C. Primary	1	SWA				
6703309	St Josephs Cathedral Primary School	St Josephs Cathedral Primary School	1	SWA				
6704031	Cefn Hengoed	Cefn Hengoed	7	SWA				
6704032	Olchfa School	Olchfa School	3	SWA				
6704033	Morriston Comprehensive	Morriston Comprehensive	3	SWA				
6704043	Pentrehafod School	Pentrehafod School	7	SWA				
6704044	Bishop Gore School	Bishop Gore School	3	SWA				
6704062	Penyrheol Comprehensive School	Penyrheol Comprehensive School	7	SWA				
6704063	Gowerton Comprehensive School	Gowerton Comprehensive School	3	SWA				
6704069	Bishopston Comprehensive	Bishopston Comprehensive	7	SWA				
6704072	Pontarddulais Comprehensive School	Pontarddulais Comprehensive School	7	SWA				
6704074	Ysgol Gyfun Gwyr	Ysgol Gyfun Gwyr	3	SWA				
6704075	Birchgrove	Birchgrove	7	SWA				
6704076	Dylan Thomas Community School	Dylan Thomas Community School	7	SWA				
6704078	Ysgol Gyfun Gymraeg Bryn Tawe	Ysgol Gyfun Gymraeg Bryn Tawe	3	SWA				
6704600	Bishop Vaughan School	Bishop Vaughan School	3	SWA				
6707000	Ysgol Pen-y-Bryn	Ysgol Pen-y-Bryn	4	SWA				
6707008	Ysgol Crug Glas	Ysgol Crug Glas	4	SWA				
6712100	Alltwen Primary School	Alltwen Primary School	1	NTL				
6712101	Blaendulais Primary School	Blaendulais Primary School	1	NTL				
6712106	Blaengwrach Primary School	Blaengwrach Primary School	1	NTL				
6712110	Blaenhonddan Primary School	Blaenhonddan Primary School	1	NTL				
6712113	Brynhyfryd Primary School	Brynhyfryd Primary School	1	NTL				
6712119	Baglan Primary School	Baglan Primary School	1	NTL				
6712128	YGG Cwmllynfell	YGG Cwmllynfell	1	NTL				
6712129	Creunant Primary School	Creunant Primary School	1	NTL				
6712134	Crymlyn Primary School	Crymlyn Primary School	1	NTL				
6712137	Cwmnedd Primary School	Cwmnedd Primary School	1	NTL				
6712138	Cymer Afan Primary School	Cymer Afan Primary School	1	NTL				
6712140	Godre'rgraig Primary School	Godre'rgraig Primary School	1	NTL				
6712142	Eastern Primary School	Eastern Primary School	1	NTL				
6712144	Gnoll Primary School	Gnoll Primary School	1	NTL				
6712148	Glyncorrwg Primary School	Glyncorrwg Primary School	1	NTL				
6712149	YGG Gwaun Cae Gurwen	YGG Gwaun Cae Gurwen	1	NTL				
6712150	Catwg Primary School	Catwg Primary School	1	NTL				
6712152	Llansawel Primary School	Llansawel Primary School	1	NTL				
6712155	Maesmarchog Community Primary School	Maesmarchog Community Primary School	1	NTL				
6712158	YGG Rhosafan	YGG Rhosafan	1	NTL				
6712161	Sandfields Primary School	Sandfields Primary School	1	NTL				
6712168	YGG Castell-nedd	YGG Castell-nedd	1	NTL				
6712173	Croeserw Primary School	Croeserw Primary School	1	NTL				
6712175	Tywyn Primary School	Tywyn Primary School	1	NTL				
6712178	Llangiwg Primary School	Llangiwg Primary School	1	NTL				
6712181	Tonnau Primary Community School	Tonnau Primary Community School	1	NTL				
6712187	Ynysfach Primary School	Ynysfach Primary School	1	NTL				
6712191	Blaenbaglan Primary School	Blaenbaglan Primary School	1	NTL				
6712193	Ynysmaerdy Primary School	Ynysmaerdy Primary School	1	NTL				
6712200	Rhos Primary School	Rhos Primary School	1	NTL				
6712202	YGG Blaendulais	YGG Blaendulais	1	NTL				
6712203	Rhydyfro Primary School	Rhydyfro Primary School	1	NTL				
6712204	Groes Primary School	Groes Primary School	1	NTL				
6712205	YGG Cwm Nedd	YGG Cwm Nedd	1	NTL				
6712206	Tairgwaith Primary School	Tairgwaith Primary School	1	NTL				
6712208	YGG Trebannws	YGG Trebannws	1	NTL				
6712218	YGG Pontardawe	YGG Pontardawe	1	NTL				
6712221	Waunceirch Primary School	Waunceirch Primary School	1	NTL				
6712230	Cilffriw Primary School	Cilffriw Primary School	1	NTL				
6712231	YGG Tyle'r Ynn	YGG Tyle'r Ynn	1	NTL				
6712232	Coed Hirwaun Primary School	Coed Hirwaun Primary School	1	NTL				
6712233	Coedffranc Primary School	Coedffranc Primary School	1	NTL				
6712234	Pen Afan Primary	Pen Afan Primary	1	NTL				
6712235	Awel Y Mor Primary School	Awel Y Mor Primary School	1	NTL				
6712236	Crynallt Primary School	Crynallt Primary School	1	NTL				
6712237	Cwmafan Primary School	Cwmafan Primary School	1	NTL				
6712238	Central Primary School	Central Primary School	1	NTL				
6712239	Abbey Primary School	Abbey Primary School	1	NTL				
6712240	Melin Primary School	Melin Primary School	1	NTL				
6713309	St Joseph's Catholic Primary School (Neath)	St Joseph's Catholic Primary School (Neath)	1	NTL				
6713310	St Josephs Catholic Infant School	St Josephs Catholic Infant School	6	NTL				
6713311	Bryncoch CIW Primary School	Bryncoch CIW Primary School	1	NTL				
6713313	Alderman Davies CIW Primary School	Alderman Davies CIW Primary School	1	NTL				
6713314	St Therese's Catholic Primary School	St Therese's Catholic Primary School	1	NTL				
6713316	St Josephs Catholic Junior School	St Josephs Catholic Junior School	5	NTL				
6714047	Cymer Afan Comprehensive School	Cymer Afan Comprehensive School	7	NTL				
6714059	Dyffryn School	Dyffryn School	7	NTL				
6714064	Cefn Saeson Comprehensive School	Cefn Saeson Comprehensive School	7	NTL				
6714065	Cwmtawe Community School	Cwmtawe Community School	7	NTL				
6714066	Llangatwg Community School	Llangatwg Community School	7	NTL				
6714067	Dwr Y Felin Comprehensive School	Dwr Y Felin Comprehensive School	7	NTL				
6714601	St Joseph's RC School and 6th Form Centre	St Joseph's RC School and 6th Form Centre	3	NTL				
6715500	Ysgol Bae Baglan	Ysgol Bae Baglan	8	NTL				
6715501	Ysgol Gymraeg Ystalyfera - Bro Dur	Ysgol Gymraeg Ystalyfera - Bro Dur	9	NTL				
6717006	Ysgol Maes Y Coed	Ysgol Maes Y Coed	4	NTL				
6717008	Ysgol Hendrefelin	Ysgol Hendrefelin	10	NTL				
6722046	Abercerdin Primary School	Abercerdin Primary School	1	BGE				
6722051	Betws Primary School	Betws Primary School	1	BGE				
6722055	Blaengarw Primary	Blaengarw Primary	1	BGE				
6722086	Brynmenyn Primary	Brynmenyn Primary	1	BGE				
6722090	Bryntirion Infants	Bryntirion Infants	6	BGE				
6722103	Cefn Cribwr Primary School	Cefn Cribwr Primary School	1	BGE				
6722109	Coety Primary School	Coety Primary School	1	BGE				
6722117	Cwmfelin Primary School	Cwmfelin Primary School	1	BGE				
6722122	Ffaldau	Ffaldau	1	BGE				
6722129	Garth Primary School	Garth Primary School	1	BGE				
6722146	Coychurch Llangrallo Primary	Coychurch Llangrallo Primary	1	BGE				
6722149	Llangynwyd Primary School	Llangynwyd Primary School	1	BGE				
6722172	Nantyffyllon Primary School	Nantyffyllon Primary School	1	BGE				
6722178	Nantymoel Primary School	Nantymoel Primary School	1	BGE				
6722185	Newton Primary	Newton Primary	1	BGE				
6722194	Nottage County Primary	Nottage County Primary	1	BGE				
6722220	Pen-Y-Bont Primary	Pen-Y-Bont Primary	1	BGE				
6722227	Pil Primary	Pil Primary	1	BGE				
6722232	Plasnewydd Primary School	Plasnewydd Primary School	1	BGE				
6722256	Trelales Primary School	Trelales Primary School	1	BGE				
6722259	Ygg Cynwyd Sant	Ygg Cynwyd Sant	1	BGE				
6722275	Tynyrheol Primary School	Tynyrheol Primary School	1	BGE				
6722279	Croesty Primary School	Croesty Primary School	1	BGE				
6722288	Corneli Primary	Corneli Primary	1	BGE				
6722292	Llangewydd Junior School	Llangewydd Junior School	5	BGE				
6722296	Porthcawl Primary School	Porthcawl Primary School	1	BGE				
6722298	Ysgol Gymraeg Bro Ogwr	Ysgol Gymraeg Bro Ogwr	1	BGE				
6722300	Cefn Glas Infants	Cefn Glas Infants	6	BGE				
6722301	West Park Primary	West Park Primary	1	BGE				
6722304	Afon Y Felin Primary School	Afon Y Felin Primary School	1	BGE				
6722342	Tondu Primary School	Tondu Primary School	1	BGE				
6722358	Ysgol Y Ferch O'r Sger	Ysgol Y Ferch O'r Sger	1	BGE				
6722363	Y G G Cwm Garw	Y G G Cwm Garw	1	BGE				
6722367	Maes Yr Haul Broadlands	Maes Yr Haul Broadlands	1	BGE				
6722368	Bryncethin Primary	Bryncethin Primary	2	BGE				
6722369	Ogmore Vale Primary School	Ogmore Vale Primary School	1	BGE				
6722370	Pencoed Primary School	Pencoed Primary School	1	BGE				
6722371	Oldcastle Primary School	Oldcastle Primary School	1	BGE				
6722372	Brackla Primary School	Brackla Primary School	1	BGE				
6722373	Caerau Primary School	Caerau Primary School	1	BGE				
6722374	Litchard Primary	Litchard Primary	1	BGE				
6722375	Tremains Primary School	Tremains Primary School	1	BGE				
6722376	Mynydd Cynffig Primary School	Mynydd Cynffig Primary School	1	BGE				
6723013	Penyfai Church In Wales	Penyfai Church In Wales	2	BGE				
6723311	St. Mary`s & St. Patrick`s	St. Mary`s & St. Patrick`s	1	BGE				
6723315	St. Robert's Rc Primary	St. Robert's Rc Primary	2	BGE				
6723322	St Mary's R C Primary School	St Mary's R C Primary School	1	BGE				
6723323	Archdeacon John Lewis C In W	Archdeacon John Lewis C In W	1	BGE				
6724059	Cynffig Comprehensive	Cynffig Comprehensive	3	BGE				
6724068	Bryntirion Comprehensive.	Bryntirion Comprehensive.	3	BGE				
6724071	Maesteg Comprehensive School	Maesteg Comprehensive School	3	BGE				
6724076	Pencoed Comprehensive	Pencoed Comprehensive	3	BGE				
6724078	Brynteg School	Brynteg School	3	BGE				
6724080	Porthcawl Comprehensive School	Porthcawl Comprehensive School	3	BGE				
6724085	Ysgol Gyfun Gymraeg Llangynwyd	Ysgol Gyfun Gymraeg Llangynwyd	3	BGE				
6724086	Coleg Cymunedol Y Dderwen	Coleg Cymunedol Y Dderwen	3	BGE				
6724601	Archbishop McGrath Catholic High School	Archbishop McGrath Catholic High School	3	BGE				
6727003	Heronsbridge Special School	Heronsbridge Special School	4	BGE				
6727012	Ysgol Bryn Castell	Ysgol Bryn Castell	4	BGE				
6731011	Cogan Nursery School	Cogan Nursery School	11	VGL				
6731013	Bute Cottage Nursery School	Bute Cottage Nursery School	11	VGL				
6732109	Albert Primary School	Albert Primary School	1	VGL				
6732111	Barry Island Primary School	Barry Island Primary School	1	VGL				
6732114	Cogan Primary School	Cogan Primary School	2	VGL				
6732115	Colcot Primary School	Colcot Primary School	1	VGL				
6732117	Fairfield Primary School	Fairfield Primary School	1	VGL				
6732118	Gladstone Primary School	Gladstone Primary School	1	VGL				
6732120	High Street Primary School	High Street Primary School	1	VGL				
6732122	Holton Primary School	Holton Primary School	1	VGL				
6732124	Jenner Park Primary School	Jenner Park Primary School	1	VGL				
6732126	Llancarfan Primary School	Llancarfan Primary School	2	VGL				
6732127	Llanfair Primary School	Llanfair Primary School	1	VGL				
6732128	Llangan Primary School	Llangan Primary School	1	VGL				
6732131	Palmerston Primary School	Palmerston Primary School	1	VGL				
6732133	Rhws County Primary School	Rhws County Primary School	1	VGL				
6732136	Sully Primary School	Sully Primary School	1	VGL				
6732138	Victoria Primary School	Victoria Primary School	1	VGL				
6732144	St Athan Primary School	St Athan Primary School	1	VGL				
6732146	St Illtyd Primary School	St Illtyd Primary School	1	VGL				
6732148	Evenlode Primary School	Evenlode Primary School	2	VGL				
6732149	Llandough County Primary	Llandough County Primary	1	VGL				
6732151	Y Bont Faen Primary School	Y Bont Faen Primary School	1	VGL				
6732152	Ysgol Pen-y-Garth	Ysgol Pen-y-Garth	1	VGL				
6732156	Ysgol Gymraeg Sant Baruc	Ysgol Gymraeg Sant Baruc	1	VGL				
6732163	Oak Field Primary And Nursery School	Oak Field Primary And Nursery School	1	VGL				
6732165	Ysgol Iolo Morganwg	Ysgol Iolo Morganwg	1	VGL				
6732178	Ysgol Gymraeg Sant Curig	Ysgol Gymraeg Sant Curig	1	VGL				
6732179	Ysgol Gymraeg Gwaun Y Nant	Ysgol Gymraeg Gwaun Y Nant	1	VGL				
6732181	Cadoxton Primary School	Cadoxton Primary School	2	VGL				
6732182	Romilly Primary School	Romilly Primary School	1	VGL				
6732184	Ysgol Gymraeg Dewi Sant	Ysgol Gymraeg Dewi Sant	1	VGL				
6732185	Dinas Powys Primary School	Dinas Powys Primary School	1	VGL				
6732186	Ysgol y Ddraig	Ysgol y Ddraig	1	VGL				
6733037	St Nicholas C/W Primary School	St Nicholas C/W Primary School	2	VGL				
6733047	Peterston-Super-Ely Primary	Peterston-Super-Ely Primary	1	VGL				
6733057	Gwenfo C/W Primary School	Gwenfo C/W Primary School	1	VGL				
6733320	St Brides C W Primary School	St Brides C W Primary School	1	VGL				
6733321	Wick And Marcross C/W Primary	Wick And Marcross C/W Primary	2	VGL				
6733363	Pendoylan C/W Primary School	Pendoylan C/W Primary School	1	VGL				
6733364	St Andrew's C/W Primary School	St Andrew's C/W Primary School	1	VGL				
6733365	Llansannor C/W Primary School	Llansannor C/W Primary School	1	VGL				
6733367	St David's Church-In-Wales	St David's Church-In-Wales	1	VGL				
6733368	St. Joseph's Rc Primary School	St. Joseph's Rc Primary School	1	VGL				
6733372	All Saints Cw Primary School	All Saints Cw Primary School	1	VGL				
6733373	St Helen's Catholic Primary School	St Helen's Catholic Primary School	1	VGL				
6734060	Llantwit Major School	Llantwit Major School	3	VGL				
6734061	Barry Comprehensive School	Barry Comprehensive School	3	VGL				
6734062	Bryn Hafren Comprehensive School	Bryn Hafren Comprehensive School	3	VGL				
6734065	Cowbridge Comprehensive School	Cowbridge Comprehensive School	3	VGL				
6734067	St Cyres Comprehensive School	St Cyres Comprehensive School	3	VGL				
6734612	St Richard Gwyn Catholic High School	St Richard Gwyn Catholic High School	7	VGL				
6735400	Stanwell School	Stanwell School	3	VGL				
6735500	Ysgol Gymraeg Bro Morgannwg	Ysgol Gymraeg Bro Morgannwg	9	VGL				
6737024	Ysgol Y Deri	Ysgol Y Deri	4	VGL				
6742044	Penderyn Primary	Penderyn Primary	1					
6742045	Oaklands Primary School	Oaklands Primary School	1					
6742052	Alaw Primary School	Alaw Primary School	1					
6742053	Abernant County Primary	Abernant County Primary	1					
6742060	Cilfynydd Primary	Cilfynydd Primary	1					
6742061	Brynnau Primary	Brynnau Primary	1					
6742066	Coedpenmaen County Primary	Coedpenmaen County Primary	1					
6742069	Bodringallt Primary School.	Bodringallt Primary School.	1					
6742070	Blaengwawr Primary	Blaengwawr Primary	1					
6742072	Coedylan Primary School	Coedylan Primary School	1					
6742077	Caegarw Primary School	Caegarw Primary School	1					
6742079	Cwmlai Primary	Cwmlai Primary	1					
6742083	Dolau Primary	Dolau Primary	1					
6742084	Capcoch Primary School	Capcoch Primary School	1					
6742093	Caradog Primary School	Caradog Primary School	1					
6742102	Ffynnon Taf Primary School	Ffynnon Taf Primary School	1					
6742104	Hawthorn Primary School	Hawthorn Primary School	1					
6742112	Darran Park Primary	Darran Park Primary	1					
6742118	Llanilltud Faerdref Primary	Llanilltud Faerdref Primary	1					
6742119	Gelli Primary School	Gelli Primary School	1					
6742124	Llantrisant Primary School	Llantrisant Primary School	1					
6742125	Cwmaman Infants	Cwmaman Infants	6					
6742127	Hafod Primary School	Hafod Primary School	1					
6742130	Maes-Y-Coed Primary School	Maes-Y-Coed Primary School	1					
6742134	Cwmdar County Primary School	Cwmdar County Primary School	1					
6742137	Parclewis Primary School	Parclewis Primary School	1					
6742138	Llwyncelyn Infants	Llwyncelyn Infants	6					
6742142	Llanharan Primary School	Llanharan Primary School	1					
6742143	Llwynypia Primary School	Llwynypia Primary School	1					
6742144	Darrenlas Primary School	Darrenlas Primary School	1					
6742151	Llanhari Primary	Llanhari Primary	1					
6742157	Glynhafod Junior School	Glynhafod Junior School	5					
6742160	Pontyclun Primary	Pontyclun Primary	1					
6742161	Parc Primary School	Parc Primary School	1					
6742167	Rhigos Primary School	Rhigos Primary School	1					
6742168	Tonyrefail Primary	Tonyrefail Primary	1					
6742170	Hirwaun Primary School	Hirwaun Primary School	1					
6742176	Penygraig Junior School	Penygraig Junior School	5					
6742179	Penygraig Infants School	Penygraig Infants School	6					
6742180	Llwydcoed Primary School	Llwydcoed Primary School	1					
6742182	Trallwng Infants School	Trallwng Infants School	6					
6742192	Pengeulan Primary	Pengeulan Primary	1					
6742196	Pontrhondda Primary School	Pontrhondda Primary School	2					
6742199	Trehopcyn Primary	Trehopcyn Primary	1					
6742200	Pontygwaith Primary School	Pontygwaith Primary School	1					
6742206	Trerobart Primary School	Trerobart Primary School	1					
6742211	Porth Infants	Porth Infants	6					
6742216	Y.G.G.Pontsionnorton School	Y.G.G.Pontsionnorton School	1					
6742218	Perthcelyn Community Primary School	Perthcelyn Community Primary School	1					
6742221	Heol Y Celyn Bilingual Primary	Heol Y Celyn Bilingual Primary	1					
6742222	Ton Pentre Junior School	Ton Pentre Junior School	5					
6742225	Craig Yr Hesg Primary School	Craig Yr Hesg Primary School	1					
6742228	Llwyn-Crwn Primary School	Llwyn-Crwn Primary School	1					
6742229	Ton Pentre Infants	Ton Pentre Infants	6					
6742234	Tonypandy Primary School	Tonypandy Primary School	1					
6742235	Y.G.G.Aberdar	Y.G.G.Aberdar	1					
6742243	Trealaw County Primary School	Trealaw County Primary School	1					
6742244	Glenboi Community Primary School	Glenboi Community Primary School	1					
6742247	Cefn Primary School	Cefn Primary School	1					
6742250	Ygg Garth Olwg	Ygg Garth Olwg	2					
6742251	Treorchy Primary	Treorchy Primary	1					
6742258	Williamstown Primary	Williamstown Primary	1					
6742263	Maesybryn Primary School	Maesybryn Primary School	1					
6742264	Tylorstown Primary School	Tylorstown Primary School	1					
6742269	Tref-y-Rhyg Primary School	Tref-y-Rhyg Primary School	1					
6742272	Ysgol Gymraeg Tonyrefail	Ysgol Gymraeg Tonyrefail	1					
6742276	Penygawsi Primary School	Penygawsi Primary School	1					
6742284	Ysgol Gymraeg Llwyncelyn	Ysgol Gymraeg Llwyncelyn	1					
6742287	Ysgol Gynradd Gymraeg Ynyswen	Ysgol Gynradd Gymraeg Ynyswen	1					
6742295	Porth Junior School	Porth Junior School	5					
6742306	Tonysguboriau Primary School	Tonysguboriau Primary School	1					
6742351	Y. G. G. G. Llantrisant	Y. G. G. G. Llantrisant	1					
6742356	Ysgol Gymraeg Bodringallt	Ysgol Gymraeg Bodringallt	1					
6742359	Y.G.G. Castellau	Y.G.G. Castellau	1					
6742361	Y.G.G. Llyn-Y-Forwyn	Y.G.G. Llyn-Y-Forwyn	1					
6742362	Ysgol Gymraeg Evan James	Ysgol Gymraeg Evan James	1					
6742364	Ysgol Gymraeg Abercynon	Ysgol Gymraeg Abercynon	1					
6742365	Ygg Bronllwyn School	Ygg Bronllwyn School	1					
6742367	Miskin Primary	Miskin Primary	1					
6742369	Penpych Community Primary Scho	Penpych Community Primary Scho	1					
6742370	Hendreforgan Primary School	Hendreforgan Primary School	1					
6742371	Penyrenglyn Primary	Penyrenglyn Primary	1					
6742372	Penywaun Community School	Penywaun Community School	1					
6742373	Penrhys Community Primary	Penrhys Community Primary	1					
6742374	Gwaunmeisgyn Primary School	Gwaunmeisgyn Primary School	1					
6742375	Gwauncelyn Primary School	Gwauncelyn Primary School	1					
6742376	Penrhiwceibr Primary	Penrhiwceibr Primary	1					
6742377	Ysgol Yr Eos	Ysgol Yr Eos	1					
6742378	Ynyshir Community Primary	Ynyshir Community Primary	1					
6742380	Cwmclydach Community Primary School	Cwmclydach Community Primary School	1					
6742381	Aberdare Park Primary	Aberdare Park Primary	1					
6742382	Maerdy Primary School	Maerdy Primary School	1					
6742383	Cwmbach Community Primary	Cwmbach Community Primary	1					
6742384	Ynysboeth Community Primary	Ynysboeth Community Primary	1					
6742385	Abercynon Primary	Abercynon Primary	1					
6742386	Cymmer Primary School	Cymmer Primary School	1					
6743309	Our Lady's R.C.	Our Lady's R.C.	1					
6743312	St Michaels Primary	St Michaels Primary	1					
6743313	S.S.Gabriel And Raphael Prim	S.S.Gabriel And Raphael Prim	1					
6743314	St. Margaret's Catholic Primary School	St. Margaret's Catholic Primary School	1					
6743317	Aberdare Town C In W Primary	Aberdare Town C In W Primary	1					
6743319	Cwmbach Church In Wales	Cwmbach Church In Wales	1					
6744019	Bryncelynnog Comprehensive School	Bryncelynnog Comprehensive School	3					
6744022	The Pontypridd High School	The Pontypridd High School	3					
6744027	Hawthorn High School	Hawthorn High School	3					
6744053	Mountain Ash Comprehensive School	Mountain Ash Comprehensive School	3					
6744054	Ysgol Gyfun Garth Olwg	Ysgol Gyfun Garth Olwg	3					
6744057	Tonyrefail School	Tonyrefail School	3					
6744081	Treorchy Comprehensive School	Treorchy Comprehensive School	3					
6744083	Ferndale Community School	Ferndale Community School	7					
6744087	Porth County Community	Porth County Community	3					
6744095	Tonypandy Community College	Tonypandy Community College	3					
6744096	Y Pant Comprehensive	Y Pant Comprehensive	3					
6744097	Ysgol Gyfun Cwm Rhondda	Ysgol Gyfun Cwm Rhondda	3					
6744105	Ysgol Gyfun Rhydywaun	Ysgol Gyfun Rhydywaun	3					
6744106	Aberdare Community School	Aberdare Community School	3					
6744602	Cardinal Newman R.C.	Cardinal Newman R.C.	3					
6744604	St.John Baptist High School	St.John Baptist High School	3					
6745500	Ysgol Llanhari	Ysgol Llanhari	9					
6747006	Maesgwyn	Maesgwyn	4					
6747008	Park Lane Special School	Park Lane Special School	4					
6747011	Ysgol Hen Felin	Ysgol Hen Felin	4					
6747015	Ysgol Ty Coch	Ysgol Ty Coch	4					
6751027	Gurnos Nursery School	Gurnos Nursery School	11	MTY				
6752000	Abercanaid Community	Abercanaid Community	1	MTY				
6752002	Cyfarthfa Park Primary School	Cyfarthfa Park Primary School	1	MTY				
6752006	Caedraw Primary	Caedraw Primary	1	MTY				
6752010	Gellifaelog Primary School	Gellifaelog Primary School	1	MTY				
6752015	Pantysgallog Primary School	Pantysgallog Primary School	1	MTY				
6752020	Gwaunfarren Primary	Gwaunfarren Primary	1	MTY				
6752022	Heolgerrig Community School	Heolgerrig Community School	1	MTY				
6752039	Ynysowen Primary	Ynysowen Primary	1	MTY				
6752042	Ysgol Santes Tudful	Ysgol Santes Tudful	1	MTY				
6752054	Bedlinog Community Primary School	Bedlinog Community Primary School	1	MTY				
6752231	Trelewis Primary School	Trelewis Primary School	1	MTY				
6752330	Ysgol-Y-Graig	Ysgol-Y-Graig	2	MTY				
6752346	Ysgol Gymraeg Rhyd-Y-Grug	Ysgol Gymraeg Rhyd-Y-Grug	1	MTY				
6752351	Coed Y Dderwen Primary School	Coed Y Dderwen Primary School	1	MTY				
6752352	Twynyrodyn Community School	Twynyrodyn Community School	1	MTY				
6752353	Edwardsville Primary School	Edwardsville Primary School	2	MTY				
