school-wls	name	enw	school-type-wls	principal-local-authority	address	cyfeiriad	start-date	end-date
6622110	Ysgol Maes Owen	Ysgol Maes Owen	5	CWY				
6622111	Ysgol Glan Gele	Ysgol Glan Gele	6	CWY				
6622112	Ysgol Glan Morfa	Ysgol Glan Morfa	1	CWY				
6622114	Ysgol Bod Alaw	Ysgol Bod Alaw	1	CWY				
6622115	Ysgol Pant Y Rhedyn	Ysgol Pant Y Rhedyn	5	CWY				
6622118	Ysgol Y Foryd	Ysgol Y Foryd	6	CWY				
6622121	Ysgol Craig Y Don	Ysgol Craig Y Don	1	CWY				
6622123	Ysgol Cerrigydrudion	Ysgol Cerrigydrudion	1	CWY				
6622131	Ysgol Llannefydd	Ysgol Llannefydd	1	CWY				
6622132	Ysgol Bro Aled, Llansannan	Ysgol Bro Aled, Llansannan	1	CWY				
6622148	Ysgol Gynradd Bro Cernyw	Ysgol Gynradd Bro Cernyw	1	CWY				
6622221	Ysgol Sant Elfod	Ysgol Sant Elfod	5	CWY				
6622222	Ysgol Capel Garmon	Ysgol Capel Garmon	1	CWY				
6622225	Ysgol Glan Conwy	Ysgol Glan Conwy	1	CWY				
6622264	Ysgol Cynfran	Ysgol Cynfran	1	CWY				
6622267	Ysgol Iau Hen Golwyn	Ysgol Iau Hen Golwyn	5	CWY				
6622269	Ysgol Cystennin	Ysgol Cystennin	5	CWY				
6622270	Ysgol Pentrefoelas	Ysgol Pentrefoelas	1	CWY				
6622271	Ysgol Bro Gwydir	Ysgol Bro Gwydir	1	CWY				
6622272	Ysgol Nant Y Groes	Ysgol Nant Y Groes	1	CWY				
6622273	Ysgol Swn Y Don	Ysgol Swn Y Don	1	CWY				
6622274	Ysgol Awel y Mynydd	Ysgol Awel y Mynydd	1	CWY				
6623020	Ysgol Babanod Llanfairfechan	Ysgol Babanod Llanfairfechan	6	CWY				
6623021	Ysgol Llangelynnin	Ysgol Llangelynnin	1	CWY				
6623024	Ysgol Pencae	Ysgol Pencae	1	CWY				
6623032	Ysgol Ysbyty Ifan	Ysgol Ysbyty Ifan	1	CWY				
6623038	Ysgol St. George	Ysgol St. George	1	CWY				
6623039	Ysgol Llanddoged	Ysgol Llanddoged	1	CWY				
6623040	Ysgol Eglwysbach	Ysgol Eglwysbach	1	CWY				
6623043	Ysgol Porth y Felin	Ysgol Porth y Felin	1	CWY				
6623059	Ysgol Llanddulas	Ysgol Llanddulas	1	CWY				
6623062	Ysgol Betws yn Rhos	Ysgol Betws yn Rhos	1	CWY				
6623302	Ysgol Bodafon	Ysgol Bodafon	1	CWY				
6623303	Ysgol Bendigaid William Davies	Ysgol Bendigaid William Davies	1	CWY				
6623307	Ysgol San Sior	Ysgol San Sior	1	CWY				
6623333	Ysgol Sant Joseph	Ysgol Sant Joseph	1	CWY				
6623340	Ysgol y Plas	Ysgol y Plas	1	CWY				
6624022	Ysgol John Bright	Ysgol John Bright	3	CWY				
6624023	Ysgol Aberconwy	Ysgol Aberconwy	3	CWY				
6624035	Ysgol Dyffryn Conwy	Ysgol Dyffryn Conwy	3	CWY				
6624038	Ysgol Y Creuddyn	Ysgol Y Creuddyn	3	CWY				
6625201	Ysgol Pen Y Bryn	Ysgol Pen Y Bryn	1	CWY				
6625400	Ysgol Emrys Ap Iwan	Ysgol Emrys Ap Iwan	3	CWY				
6625402	Eirias High School	Eirias High School	3	CWY				
6625403	Ysgol Bryn Elian	Ysgol Bryn Elian	3	CWY				
6627007	Ysgol Y Gogarth	Ysgol Y Gogarth	4	CWY				
6632011	Ysgol Hiraddug	Ysgol Hiraddug	1	DEN				
6632037	Ysgol Y Castell Cp	Ysgol Y Castell Cp	1	DEN				
6632038	Christ Church Primary School	Christ Church Primary School	1	DEN				
6632039	Ysgol Llywelyn	Ysgol Llywelyn	1	DEN				
6632057	Ysgol Y Faenol	Ysgol Y Faenol	1	DEN				
6632059	Ysgol Penmorfa Cp	Ysgol Penmorfa Cp	1	DEN				
6632060	Ysgol Emmanuel	Ysgol Emmanuel	1	DEN				
6632066	Ysgol Dewi Sant	Ysgol Dewi Sant	2	DEN				
6632067	Ysgol Melyd	Ysgol Melyd	1	DEN				
6632070	Ysgol Bodfari	Ysgol Bodfari	1	DEN				
6632072	Ysgol Bryn Hedydd	Ysgol Bryn Hedydd	1	DEN				
6632124	Ysgol Cefn Meiriadog	Ysgol Cefn Meiriadog	1	DEN				
6632125	Frongoch Juniors	Frongoch Juniors	5	DEN				
6632127	Ysgol Henllan	Ysgol Henllan	1	DEN				
6632134	Ysgol Twm o'r Nant	Ysgol Twm o'r Nant	1	DEN				
6632135	Ysgol Bryn Clwyd	Ysgol Bryn Clwyd	1	DEN				
6632136	Ysgol Y Parc	Ysgol Y Parc	6	DEN				
6632164	Ysgol Gellifor	Ysgol Gellifor	1	DEN				
6632168	Ysgol Pentrecelyn	Ysgol Pentrecelyn	1	DEN				
6632169	Ysgol Rhewl	Ysgol Rhewl	1	DEN				
6632214	Ysgol Betws Gwerful Goch	Ysgol Betws Gwerful Goch	1	DEN				
6632215	Ysgol Carrog	Ysgol Carrog	1	DEN				
6632216	Ysgol Caer Drewyn	Ysgol Caer Drewyn	1	DEN				
6632219	Ysgol Bro Elwern	Ysgol Bro Elwern	1	DEN				
6632227	Ysgol Y Llys	Ysgol Y Llys	1	DEN				
6632234	Ysgol Bryn Collen	Ysgol Bryn Collen	1	DEN				
6632255	Rhos Street Cp School	Rhos Street Cp School	1	DEN				
6632256	Ysgol Pen Barras	Ysgol Pen Barras	1	DEN				
6632261	Ysgol Bro Cinmeirch	Ysgol Bro Cinmeirch	1	DEN				
6632262	Ysgol Bro Famau	Ysgol Bro Famau	1	DEN				
6632263	Ysgol Gymraeg Y Gwernant	Ysgol Gymraeg Y Gwernant	1	DEN				
6632264	Ysgol Clawdd Offa	Ysgol Clawdd Offa	2	DEN				
6632265	Bodnant Community Primary School	Bodnant Community Primary School	1	DEN				
6632266	Ysgol Pendref	Ysgol Pendref	1	DEN				
6632267	Ysgol Bro Dyfrdwy	Ysgol Bro Dyfrdwy	1	DEN				
6632268	Ysgol Carreg Emlyn	Ysgol Carreg Emlyn	1	DEN				
6633020	Ysgol Tremeirchion	Ysgol Tremeirchion	1	DEN				
6633024	St Asaph Infants School	St Asaph Infants School	6	DEN				
6633044	Ysgol Llanbedr	Ysgol Llanbedr	1	DEN				
6633045	Ysgol Llanfair Dyffryn Clwyd	Ysgol Llanfair Dyffryn Clwyd	1	DEN				
6633050	Ysgol Borthyn	Ysgol Borthyn	1	DEN				
6633057	Ysgol Pant Pastynog	Ysgol Pant Pastynog	1	DEN				
6633061	Ysgol Dyffryn Ial	Ysgol Dyffryn Ial	1	DEN				
6633062	Ysgol Esgob Morgan C.I.W. Voluntary Controlled Primary School	Ysgol Esgob Morgan C.I.W. Voluntary Controlled Primary School	5	DEN				
6633315	Ysgol Mair Catholic Primary School	Ysgol Mair Catholic Primary School	1	DEN				
6633316	Ysgol Trefnant	Ysgol Trefnant	1	DEN				
6634003	Rhyl High School	Rhyl High School	7	DEN				
6634014	Prestatyn High School	Prestatyn High School	3	DEN				
6634020	Ysgol Uwchradd Glan Clwyd	Ysgol Uwchradd Glan Clwyd	3	DEN				
6634026	Denbigh High School	Denbigh High School	3	DEN				
6634027	Ysgol Dinas Bran	Ysgol Dinas Bran	3	DEN				
6634031	Ysgol Brynhyfryd	Ysgol Brynhyfryd	3	DEN				
